"Date","ANTIOQUIA_CHOCO","CENTRO","EJE_CAFETERO","NORTE","OCCIDENTE","Total"
2021-08-25,450,257,67,96,109,979
2021-08-26,547,201,88,134,111,1081
2021-08-27,893,337,76,165,178,1649
2021-08-28,947,402,77,143,178,1747
2021-08-29,395,211,75,100,122,903
2021-08-30,665,281,93,124,154,1317
2021-08-31,665,232,63,108,137,1205
2021-09-01,504,226,77,132,100,1039
2021-09-02,598,285,75,112,114,1184
2021-09-03,832,384,84,152,166,1618
2021-09-04,894,452,93,158,204,1801
2021-09-05,425,195,63,102,98,883
2021-09-06,575,298,68,146,176,1263
2021-09-07,468,304,67,122,111,1072
2021-09-08,447,294,86,114,137,1078
2021-09-09,523,247,62,117,120,1069
2021-09-10,753,392,66,156,169,1536
2021-09-11,903,480,113,153,232,1881
2021-09-12,416,232,60,105,95,908
2021-09-13,563,286,96,134,159,1238
2021-09-14,559,229,80,110,106,1084
2021-09-15,552,245,60,105,123,1085
2021-09-16,580,259,58,99,148,1144
2021-09-17,942,399,94,172,242,1849
2021-09-18,1173,492,111,209,189,2174
2021-09-19,483,221,44,127,97,972
2021-09-20,562,301,83,136,156,1238
2021-09-21,470,279,83,119,131,1082
2021-09-22,571,265,63,95,114,1108
2021-09-23,575,285,47,112,131,1150
2021-09-24,841,390,106,160,170,1667
2021-09-25,1029,500,113,171,213,2026
2021-09-26,449,214,71,98,94,926
2021-09-27,632,268,81,121,150,1252
2021-09-28,492,227,60,124,103,1006
2021-09-29,520,240,72,122,136,1090
2021-09-30,607,298,68,112,125,1210
2021-10-01,833,394,120,125,190,1662
2021-10-02,1027,473,96,170,189,1955
2021-10-03,414,227,68,87,102,898
2021-10-04,526,272,66,121,126,1111
2021-10-05,496,278,76,121,142,1113
2021-10-06,510,277,73,113,131,1104
2021-10-07,576,302,82,113,132,1205
2021-10-08,724,383,104,134,164,1509
2021-10-09,940,445,115,167,199,1866
2021-10-10,452,249,75,97,99,972
2021-10-11,514,305,84,139,152,1194
2021-10-12,520,291,57,119,134,1121
2021-10-13,491,285,83,132,186,1177
2021-10-14,495,276,83,131,128,1113
2021-10-15,778,319,131,161,184,1573
2021-10-16,857,402,104,192,160,1715
2021-10-17,626,271,102,112,123,1234
2021-10-18,466,179,73,112,140,970
2021-10-19,701,328,103,170,147,1449
2021-10-20,508,309,75,126,124,1142
2021-10-21,488,312,67,110,104,1081
2021-10-22,889,352,72,180,151,1644
2021-10-23,963,535,107,176,208,1989
2021-10-24,418,215,85,87,109,914
2021-10-25,576,369,87,133,151,1316
2021-10-26,534,346,76,105,125,1186
2021-10-27,637,292,71,139,130,1269
2021-10-28,645,315,95,136,168,1359
2021-10-29,922,459,77,170,165,1793
2021-10-30,1055,524,106,166,209,2060
2021-10-31,736,322,73,135,164,1430
2021-11-01,448,251,62,106,103,970
2021-11-02,678,348,107,149,168,1450
2021-11-03,607,306,81,127,133,1254
2021-11-04,531,346,73,145,124,1219
2021-11-05,746,438,94,158,142,1578
2021-11-06,997,523,127,140,211,1998
2021-11-07,376,222,38,101,71,808
2021-11-08,601,318,85,146,150,1300
2021-11-09,559,281,71,130,125,1166
2021-11-10,633,323,73,112,107,1248
2021-11-11,654,358,82,121,142,1357
2021-11-12,903,423,90,141,145,1702
2021-11-13,1036,470,134,162,178,1980
2021-11-14,673,312,77,169,126,1357
2021-11-15,447,216,72,105,104,944
2021-11-16,731,358,97,134,162,1482
2021-11-17,621,359,98,134,133,1345
2021-11-18,667,311,82,116,144,1320
2021-11-19,938,385,95,175,161,1754
2021-11-20,941,509,99,174,173,1896
2021-11-21,487,228,80,75,81,951
